Date,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1992-03-01,-0.02045513646996429,-0.0331046479826818,0.004489896935648621,-0.04876367305851141,-0.04619509901763993,-0.053589519555217006,-0.012917077227348988,-0.0068808042689188515,-0.03592260882255527,-0.031098169938870154
1992-04-01,0.017080525091333742,-0.011229666767213653,-0.05717611243362814,-0.038659463781857216,-0.004346412657703088,-0.0190043664655311,0.0006575115197203531,0.0006095878518824899,-0.0050771238354090364,-0.01634290014354615
1992-05-01,0.048578674258545035,0.06323849251127196,0.0011197785703197932,0.034087402248011114,0.06421382595923082,0.061333288845802164,0.03831740864987072,0.03431527440707922,0.03242638870243889,0.04855859023275178
1992-06-01,-0.010667719725076618,0.018712467095052053,0.017420408511865826,0.013372191449420203,0.014364083360570448,0.0006711961437064692,0.021540248816400594,0.006841377570564333,0.013756579709671025,0.015969072423047122
1992-07-01,0.04439371069918208,0.04719960110438779,0.014738475036256343,0.047443958294853844,0.02792031347488974,0.037162252373396,0.012560965938298021,0.02456117102674779,0.042668879763971504,0.045567742437360434
1992-08-01,0.03976699303214609,0.02221919203683838,0.03066095412780958,0.03618119847720507,0.02932418212207236,0.04349755327096473,0.002676728195638545,-0.001522189057473285,0.0065381432834026795,0.04508291642911939
1992-09-01,-0.0034895051973445543,-0.05511157713900272,-0.038783869086040534,-0.03428591815183803,-0.0002841075730221562,-0.009882538559660278,-0.02055188001171332,-0.006509732778739185,-0.01383827644456105,-0.04858311873921496
1992-10-01,0.024614731069698043,0.01630166634075817,0.02154416481495468,0.014798885310463477,0.03557547939353283,0.01713611107755901,0.012566525240657763,-0.004512843492380247,0.02319241873070217,0.02504208104383266
1992-11-01,-0.0017826890742927643,-0.007949619339767988,-0.002711826933596547,-0.0016956396448764973,-0.015008689774885283,-0.05806563657987785,-0.007154648777860706,0.0037789220903427694,-0.01135667546017782,-0.008489486747533487
1992-12-01,-0.0063350848047282445,-0.021417516590891285,-0.006745863260747451,-0.03396847758796115,-0.024454942037117768,-0.030858907872651952,-0.02182079283695781,0.017934365827235912,-0.00355312286092846,-0.00688941414425775
1993-01-01,0.014606414535570728,0.01880723819487641,0.003809048915346766,-0.0035316601902103716,0.00819026005876027,0.006755700120587467,0.016981883495376812,0.0017363527184458103,0.01398975158948081,-0.009191356121816666
1993-02-01,-0.03999342126249641,-0.06753962387021925,-0.06878603857616518,-0.04679025139225793,-0.041015151170830134,-0.04783435566288863,-0.034892679094166094,-0.01293574702769584,-0.03656827150380564,-0.07133405048319125
1993-03-01,0.038190038003776065,0.01717600631024102,0.050612309840395935,0.0476825418085556,0.05134121098053231,0.035366232893590366,0.03335728040391785,0.029943310569285644,0.032216333161646876,0.05833822763564089
1993-04-01,-0.025353217571123222,-0.00861924511810646,-0.03708068402516086,-0.008401663534926678,-0.030673894363702388,-0.01419688227013153,-0.02419550985381262,-0.011507509321326426,-0.005110977590795653,-0.017753809104822535
1993-05-01,0.03559273495403635,0.03969622705124612,0.07039979023072351,0.04007563582522347,0.029783470479966493,0.036680700715239135,0.024555257001764794,0.015740777608543848,0.047824215003658244,0.059917437744723856
1993-06-01,0.006468243873308703,0.010040180689503029,-0.010757759379180424,0.004757085791950103,0.018138953078844805,0.01768645797680784,0.0020054119298225813,0.008758419754952979,0.009234946112789025,-0.03229111465629716
