,SPY,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
1998-12-01,0.0494365928547364,0.0397598666832739,0.0026869396016691,0.0053614677630984,0.0402694520039768,0.0297416699323276,0.0165097096906947,-0.0026187417162025,0.0362048195960751,0.0196316858752019
1999-01-01,0.03149590519899,-0.0173160630528613,-0.074347126932213,0.0,0.0045148443998228,0.1467805121575349,-0.0092808098614849,-0.0110293550277513,0.0566267812301619,0.0601685923184032
1999-02-01,-0.023639342512182,-0.0044053183937078,-0.0086834166988388,0.0373333313114858,0.0070653186592195,-0.1040464805506532,-0.0111242241994791,-0.0398303531074969,-0.0062715716464707,-0.0079456757562453
1999-03-01,0.0464155341596148,0.0418401062812083,0.1515708902825541,0.0310074560502342,0.0325381263704929,0.0963133198290435,0.0053239715837805,-0.0290535076487633,0.0281121296060065,0.0469022595727521
1999-04-01,0.0490454501852184,0.2613641367377248,0.1781164047170256,0.0800003938465416,0.1605705908141668,-0.0012609710047498,-0.014158868338656,0.0900232818454624,0.0558035862655732,0.0525162491274895
1999-05-01,-0.0437582511775089,-0.0731981736369576,-0.0507562556869807,-0.084490919616023,-0.0379275088222946,-0.02735693298735,-0.0293235014031546,-0.0036822567978764,-0.0465113572691654,-0.0623704363691089
1999-06-01,0.0670360093646644,0.0238394788778102,0.0342232629289862,0.0699643417077739,0.0613182438931447,0.1337083168717321,0.0213218729956901,0.0380076005679244,0.044345836559682,0.0635141371700687
1999-07-01,-0.0359971114927393,-0.0178571963430799,-0.0110557877006516,-0.0758291485198171,-0.0345729771280151,-0.0244272379203794,-0.044241585923471,0.0220060568255742,-0.0392783166123723,-0.0861168349142489
1999-08-01,0.0046967181086938,-0.0351517682059063,0.0307431387437451,-0.0346160777882074,0.0081387552539198,0.0426441935881731,0.0133157398436438,-0.0585877131990002,-0.0375690131770036,-0.0302680653360235
1999-09-01,-0.0363303344767652,-0.0397280246738575,-0.0466726121472,-0.0726054263835662,-0.0213143754840507,-0.0153846078293312,-0.071742349178524,0.0146461586294699,-0.0183693367401964,-0.0103679367963853
1999-10-01,0.0552174686525219,0.0091864146221285,-0.0119997681403529,0.1609194823066175,-0.0336092844122246,0.0350611862170782,0.0756758414261791,0.0216584882306889,0.0549705935899567,0.0750894564914239
1999-11-01,0.0357308820876782,-0.0019507807377188,0.0185079928581197,-0.0396038706021741,0.0114025714735594,0.1104565819652489,-0.0025124892247246,-0.0372283741436597,0.0088689072032108,0.0199558913810447
1999-12-01,0.0383759593019896,0.0872898410358971,-0.0317922428485389,-0.0532386347861066,0.0447084563356918,0.1764159117643262,-0.080444594170166,-0.0503718799210263,0.0716196147899463,0.0491382424388988
2000-01-01,-0.030941106930945,-0.0854394470115817,0.0258826183011429,0.0136612990812674,-0.0639216377594182,-0.0687712582289472,0.0109891498120797,-0.0005698317078267,0.0067043481656503,-0.0643154979679557
2000-02-01,-0.0177381004503284,-0.1256580452375335,-0.0160552563556269,-0.0997305337074233,-0.053819587789983,0.0932209432142787,-0.1161685260171462,-0.0763097117271505,-0.0696720429959271,-0.0992238618023551
2000-03-01,0.0953274248129072,0.1486935465222456,0.1156132313187523,0.2230342753471352,0.1503801409548524,0.0276846664237242,0.0949717743656215,0.069566364122706,0.0803964274577826,0.1893932480068918
2000-04-01,-0.0276857116031093,-0.065002878424224,-0.0157232365428157,-0.0583539639315122,0.0335643809543806,-0.0382538885340667,0.0197178622498335,0.0586525818203356,-0.0081548041025325,-0.0202180973022965
2000-05-01,-0.0118998096472737,-0.0273878431487711,0.0894563165077604,0.0802348465172024,-0.0190718860640106,-0.0767507781169885,0.060774280651684,0.0049369910331134,-0.0359712926707022,-0.0751321583954599
2000-06-01,0.0159344848940443,-0.0627634788286884,-0.040345977961777,-0.0619873661288354,-0.0342657486062398,0.0594664709383563,0.0558181691958619,-0.0122236113765653,0.006396382722096,-0.0485271617899636
2000-07-01,-0.0231274556078321,-0.0178016735477681,-0.0261010945355075,0.07558158244733,0.0098142471782503,-0.0704474133184069,-0.0061806030329275,0.0077953139545297,-0.0042372160542077,0.0168679970867289
2000-08-01,0.0599477521200748,0.0118204836380069,0.0998422727827281,0.0762758557760514,0.1004321808372208,0.1152192630465096,-0.0497510673948989,0.0287297139950597,0.0255320513511834,-0.0361375615633684
2000-09-01,-0.0543924531679793,-0.1100524838456979,0.0268768246645869,0.0533980505315554,-0.0474579724853021,-0.1861880820459184,0.0484760440417562,0.1252644670206446,-0.0228213699783098,-0.0338712170170969
2000-10-01,-0.0095591821571933,0.1047536537023567,-0.015888374861953,-0.0265675015641978,0.0340906980524977,-0.0685671984321798,0.0701753624030008,0.0457169020083769,0.0090228877850353,0.0114796710905313
2000-11-01,-0.0719452854421095,0.0151390274658758,-0.0617279699694833,-0.0524023486643112,-0.0264736939407108,-0.1789359317782417,0.0204914961207476,-0.0138061816699408,-0.0910044881852901,-0.0315254146947654
2000-12-01,-0.0227741713344536,0.0824280947463795,0.0806495405705611,0.0609375514854386,-0.0154154138551881,-0.1620064551029076,0.0380253071446754,-0.0094657784736855,-0.0316537396599347,0.0671179965737487
2001-01-01,0.0707812360555186,-0.0019052953919136,-0.0464629786703242,0.0278366908590979,0.036860698697263,0.2637293366221613,-0.0524164957359228,-0.0302101643798291,0.1327201588094566,0.1167713901367346
2001-02-01,-0.0966438318779657,0.0085884047968023,0.0119800502804809,-0.0675265680632939,-0.0542638325669577,-0.227468020975607,-0.0119806914495596,-0.0025238382246783,-0.0354612104346357,-0.0851739425650037
2001-03-01,-0.0809989800356484,-0.0457515184083533,-0.0585242715007562,-0.0266297513958359,-0.0957918844141982,-0.1597220884741768,-0.0730817230748029,-0.0002401150670743,-0.0723101359619386,0.0020364058216881
2001-04-01,0.1125216441361713,0.1130475258166523,0.1168276549259157,0.0401348292114427,0.132575680529245,0.2190078969571935,0.0446894811400186,0.0547942441808904,0.1041900252828478,0.0574713638598762
2001-05-01,-0.0025181781129094,0.0353465594447977,-0.0074299100227166,0.0335381142303552,0.0294313204005005,-0.0474574359046343,0.0168767513637233,-0.0108726499177989,0.0191453766466875,0.0090580931421289
2001-06-01,-0.0177308052557731,-0.0324566157036171,-0.0894557865858443,0.0068324610323979,-0.0453698889939516,0.0017789198183457,-0.0370866964895958,-0.0392870508425843,-0.0012638067574317,0.0054032583246381
